User,Search Term,Tweet Text,Created on,Compound,Positive,Negative,Neutral,Timestamps
Elizabe86170937,@CBS,"RT @DilleyShow: @realDonaldTrump They're using their most reliable intelligence assets known as

@ABC @NBCNews @CBS @CNN and this vile woma…",2020-05-22 08:58:10,-0.1363,0.196,0.179,0.625,1590137890
Juanita28424204,@CBS,RT @IAMQUEENLATIFAH: I am so excited to be joining the @cbs family as The Equalizer! Coming to your screens Sundays at 8pm this Fall! #TheE…,2020-05-22 08:56:22,0.5719,0.134,0.0,0.866,1590137782
Imanali25704453,@CBS,@YandR_CBS @letsmakeadeal @CJLeBlanc @Traceybregman @WayneBrady @CBS Yes,2020-05-22 08:53:52,0.4019,0.31,0.0,0.69,1590137632
QueNocheAVR,@CBS,"RT @jaimecamil: No JAVI, don’t demonstrate, you might hurt yourself 🤦🏽‍♂️🤣 See you tonight! @broke, 9:30/8:30c on @CBS 🙌🏼 / No JAVI, mejor…",2020-05-22 08:53:11,-0.7712,0.068,0.231,0.701,1590137591
kattyronald29,@CBS,RT @IAMQUEENLATIFAH: I am so excited to be joining the @cbs family as The Equalizer! Coming to your screens Sundays at 8pm this Fall! #TheE…,2020-05-22 08:52:49,0.5719,0.134,0.0,0.866,1590137569
QueNocheAVR,@CBS,"RT @jaimecamil: No estoy festejando que hoy hay nuevo episodio de @broke como @cuauhtemocb10, es más bien como @usainbolt 😳🥳😂🙌🏼 Nos vemos a…",2020-05-22 08:52:26,0.128,0.144,0.156,0.7,1590137546
Aimie04997691,@CBS,RT @kimberly_michg: @SoapOperaNetwrk @ABCNetwork @people I think @ABCNetwork @CBS @NBC needs to bring back the soaps! Never compare the lam…,2020-05-22 08:51:13,0.0,0.0,0.0,1.0,1590137473
Donoterase8,@CBS,"#SaveTommy
@CBS
cc: @netflix @hulu https://t.co/ypshWSHG6v",2020-05-22 08:48:29,0.0,0.0,0.0,1.0,1590137309
Donoterase8,@CBS,"#SaveTommy
@CBS
cc: @netflix @hulu https://t.co/NNiXwOBMd5",2020-05-22 08:47:42,0.0,0.0,0.0,1.0,1590137262
Donoterase8,@CBS,"#SaveTommy
@CBS
cc: @netflix @hulu https://t.co/88azclPHkr",2020-05-22 08:46:48,0.0,0.0,0.0,1.0,1590137208
DeannaFryTV,@CBS,"RT @DaytimeEmmys: The #DaytimeEmmys are returning to @CBS! Tune in on June 26th 8/7c.

https://t.co/NNrEY1lGf5 https://t.co/KaApqRLfSF",2020-05-22 08:46:04,0.0,0.0,0.0,1.0,1590137164
Donoterase8,@CBS,"#SaveTommy
@CBS
cc: @netflix @hulu https://t.co/z5HmI3qw06",2020-05-22 08:45:55,0.0,0.0,0.0,1.0,1590137155
OT7Obsessed,@CBS,RT @JKCorden: When you get in the lift with tonight’s guests! @cbs 12.30 x https://t.co/x0WhmlJPdy,2020-05-22 08:45:40,0.0,0.0,0.0,1.0,1590137140
Donoterase8,@CBS,"#SaveTommy
@CBS @CBSAllAccess
cc: @netflix @hulu https://t.co/cdVESl9uRm",2020-05-22 08:45:10,0.0,0.0,0.0,1.0,1590137110
newstruthliz,@CBS,".@johnkrasinski's feel-good web series will have a multiplatform showcase across all of @CBS's brands, though the popular actor, writer, producer and director will no longer host it.
https://t.co/FEtZSbaSqE",2020-05-22 08:44:24,0.1531,0.09,0.071,0.839,1590137064
jordanservice,@CBS,"@CBS CBS post a clip with Alan Dershowitz trivializing rape and pedophilia... It is absolutely disgusting and you should be ashamed of yourselves. 

This is a real story, and you are mocking victims that Dershowtiz vilified. 

Absolutely gross.",2020-05-22 08:42:01,-0.9661,0.0,0.409,0.591,1590136921
SaveTommyCBS,@CBS,RT @trshmare: @CBS @CBSAllAccess I can’t believe that you’re cancelling Tommy and God friended me. Have you lost your mind-they are the 2 b…,2020-05-22 08:40:59,0.1779,0.166,0.142,0.692,1590136859
SaveTommyCBS,@CBS,RT @TotalDesigns_: @CBS @CBSAllAccess This is why I stick with Netflix instead of watching CBS. You will just cancel the shows people like…,2020-05-22 08:40:38,-0.25,0.0,0.083,0.917,1590136838
SaveTommyCBS,@CBS,RT @stephal1698: @CBS @CBSAllAccess #bringbackTommy Don’t let this show go out without another round,2020-05-22 08:40:30,0.0,0.0,0.0,1.0,1590136830
SaveTommyCBS,@CBS,"RT @jillmode: @CBS @CBSAllAccess Renew Tommy, it’s a quality show unlike most of crap on TV",2020-05-22 08:40:22,-0.4364,0.0,0.161,0.839,1590136822
SaveTommyCBS,@CBS,RT @SharleneB: @CBS @CBSAllAccess Love this show.  Too bad @CBS didn't really give it a chance.    #Tommy #BringTommyBack,2020-05-22 08:40:19,0.4019,0.251,0.142,0.607,1590136819
SaveTommyCBS,@CBS,RT @hotrodzdan: @CBS @CBSAllAccess Hopefully they can please bring back #TommyCBS; I wish they can cross over @BlueBloods_CBS someday (that…,2020-05-22 08:40:14,0.7717,0.312,0.0,0.688,1590136814
SaveTommyCBS,@CBS,RT @SeanCBaker: @CBS @CBSAllAccess Season finale?🙄 You know darn well it's the series finale. Bring it back!! I need more #Tommy,2020-05-22 08:40:03,0.3987,0.101,0.0,0.899,1590136803
IvyFoliage,@CBS,"RT @lawyer4laws: @EdenfieldPl @CBS Connie Chung was a Journalist . . .
Here is an excerpt of how she reported . . 
https://t.co/ooTUuFPoNd",2020-05-22 08:40:02,0.0,0.0,0.0,1.0,1590136802
SaveTommyCBS,@CBS,RT @thediggle: @CBS @CBSAllAccess How nice of you to finally promote the show. Now bring it back for a second season and we might forgive y…,2020-05-22 08:40:01,0.7579,0.246,0.0,0.754,1590136801
SaveTommyCBS,@CBS,RT @Islandgirlpixie: @CBS @CBSAllAccess Please renew this show! It’s a great show w/great actors &amp; writing. I’m so sick of all the reality…,2020-05-22 08:39:56,0.3508,0.216,0.137,0.647,1590136796
SaveTommyCBS,@CBS,"RT @dcatmom1: @CBS @CBSAllAccess Unless the big dogs change their minds, this is not the season finale, it’s the series finally.
Oh, Tommy,…",2020-05-22 08:39:50,0.0,0.0,0.0,1.0,1590136790
SaveTommyCBS,@CBS,RT @PacBlue: @CBS @CBSAllAccess You mean series finale because you canceled one of the best shows on television that had an excellent femal…,2020-05-22 08:39:45,0.836,0.273,0.0,0.727,1590136785
SaveTommyCBS,@CBS,"RT @gory523: @CBS @CBSAllAccess Can't believe you cancel #Tommy it is a great drama, why why!!!!",2020-05-22 08:39:41,0.791,0.334,0.0,0.666,1590136781
SaveTommyCBS,@CBS,RT @jenoliveira13: @CBS @CBSAllAccess Keep this show!! #Tommy,2020-05-22 08:39:39,0.0,0.0,0.0,1.0,1590136779
SaveTommyCBS,@CBS,"RT @GlendaHickey8: @CBS @CBSAllAccess Please renew #Tommy, its a great show. Don't make it the series finale........",2020-05-22 08:39:36,0.7506,0.299,0.0,0.701,1590136776
SaveTommyCBS,@CBS,"RT @jujubee1975: @CBS @CBSAllAccess I’m really going to miss this show. #Tommy thank you for giving us a great series, even if it was only…",2020-05-22 08:39:33,0.7984,0.282,0.058,0.659,1590136773
SaveTommyCBS,@CBS,RT @Lily_91727: @CBS @CBSAllAccess @cbs PLEASE KEEP TOMMY !,2020-05-22 08:39:30,0.5147,0.294,0.0,0.706,1590136770
SaveTommyCBS,@CBS,RT @CatherynTheRtst: @CBS @CBSAllAccess Why did you cancel #Tommy? Just can’t have a show with a strong female lead? I hope another network…,2020-05-22 08:39:28,0.6767,0.23,0.07,0.7,1590136768
SaveTommyCBS,@CBS,"RT @mema_5: @CBS @CBSAllAccess I think it was very unfair of you, @CBS to cancel Tommy like u did.  1st they didn't premiere until Feb and…",2020-05-22 08:39:08,-0.4391,0.081,0.175,0.745,1590136748
kwonahki,@CBS,RT @JKCorden: When you get in the lift with tonight’s guests! @cbs 12.30 x https://t.co/x0WhmlJPdy,2020-05-22 08:38:43,0.0,0.0,0.0,1.0,1590136723
SaveTommyCBS,@CBS,RT @grayla71: @SaveTommyCBS @CBS @netflix @amblin @CBSTVStudios @hulu @PrimeVideo Love the show and Edie Falco et al. I really enjoy a good…,2020-05-22 08:38:31,0.8268,0.278,0.0,0.722,1590136711
DTzvetkovsky,@CBS,RT @cuddlycrow: @RealJamesWoods @CBS @NBC @ABC @CNN @MSNBC @CBS_Herridge This should be reported on to bring light to the atrocities that t…,2020-05-22 08:38:14,0.0,0.0,0.0,1.0,1590136694
doll_bangtan,@CBS,RT @JKCorden: When you get in the lift with tonight’s guests! @cbs 12.30 x https://t.co/x0WhmlJPdy,2020-05-22 08:37:16,0.0,0.0,0.0,1.0,1590136636
Pasunepomme,@CBS,"RT @JeremyMJordan: Really, @cbs? You're going to air a Grease sing-a-long in place of the @TheTonyAwards? Whose grandmother's idea was this…",2020-05-22 08:36:09,0.0,0.0,0.0,1.0,1590136569
Janet21284076,@CBS,"RT @lightwood_lari: @Stefany83868879 @ConcettaScarla2 We need to give Clace a happy ending! ❤
#SaveShadowhunters #Shadowhunters #ClaceFrida…",2020-05-22 08:35:50,0.6114,0.2,0.0,0.8,1590136550
hahana_rose,@CBS,RT @JKCorden: When you get in the lift with tonight’s guests! @cbs 12.30 x https://t.co/x0WhmlJPdy,2020-05-22 08:35:39,0.0,0.0,0.0,1.0,1590136539
hannett_michael,@CBS,@MrJerryOC @CBS @CBSAllAccess @RebeccaRomijn @PKSubban1 @lindseyvonn @KellyOsbourne Looks almost like a baptism.,2020-05-22 08:35:19,0.2975,0.167,0.0,0.833,1590136519
SamuelSoo18,@CBS,"So sad, @10Daily. Horrible to see you leave tonight...you grew to become bigger and better over the past two years, solidifying yourself in the online news market.
Hoping @ViacomCBS @CBS @Network10Comms will bring you back again in another form some day. #Bye10Daily #10Daily https://t.co/hbp1N0shho",2020-05-22 08:35:00,-0.3933,0.107,0.158,0.735,1590136500
JennyVine2,@CBS,RT @JKCorden: When you get in the lift with tonight’s guests! @cbs 12.30 x https://t.co/x0WhmlJPdy,2020-05-22 08:34:29,0.0,0.0,0.0,1.0,1590136469
Vivi45267723,@CBS,RT @JKCorden: When you get in the lift with tonight’s guests! @cbs 12.30 x https://t.co/x0WhmlJPdy,2020-05-22 08:34:19,0.0,0.0,0.0,1.0,1590136459
iChristyD,@CBS,"RT @CBS: We're so excited to share the New 2020-2021 CBS Primetime Schedule with you. For more information about the new lineup, click here…",2020-05-22 08:33:58,0.6788,0.202,0.0,0.798,1590136438
1ADoubleBDS,@CBS,RT @BandB_CBS: The news is out! 🎉 Check out all of the @CBS #DaytimeEmmy nominees here: https://t.co/lATvuW687J https://t.co/3lfFEGPaLi,2020-05-22 08:33:29,0.4574,0.143,0.0,0.857,1590136409
mellodiesmoon,@CBS,"RT @IamTreborL: As a huge fan, I was all excited for @StephenKing's @TheStand2020 on @CBS until I saw that @realamberheard was starring in…",2020-05-22 08:31:18,0.7184,0.259,0.0,0.741,1590136278
_ILYKIMTAEHYUNG,@CBS,RT @JKCorden: When you get in the lift with tonight’s guests! @cbs 12.30 x https://t.co/x0WhmlJPdy,2020-05-22 08:30:06,0.0,0.0,0.0,1.0,1590136206
Insh21541194,@CBS,"RT @21_rikky: #PersonOfInterest #RootXShaw
Anytime, Anywhere
You can fight!
@CBS we never give up, we NEED ShootSpinOff!
@bad_robot 
@netfl…",2020-05-22 08:29:15,-0.4912,0.0,0.15,0.85,1590136155
RobinDanaPoint,@CBS,RT @cuddlycrow: @RealJamesWoods @CBS @NBC @ABC @CNN @MSNBC @CBS_Herridge This should be reported on to bring light to the atrocities that t…,2020-05-22 08:28:47,0.0,0.0,0.0,1.0,1590136127
mars_hmall00w,@CBS,RT @JKCorden: When you get in the lift with tonight’s guests! @cbs 12.30 x https://t.co/x0WhmlJPdy,2020-05-22 08:26:58,0.0,0.0,0.0,1.0,1590136018
BernfriedI,@CBS,@cbs @StarTrek @StarTrekRoom Beware! https://t.co/RWRBhnUai0,2020-05-22 08:26:46,0.0,0.0,0.0,1.0,1590136006
totoromama1955,@CBS,RT @PauleyP: Our all new episode of @Broke @CBS is about to start East Coast and Central . It’s called “Soocer” and my character Jackie may…,2020-05-22 08:26:25,-0.4215,0.0,0.101,0.899,1590135985
totoromama1955,@CBS,RT @PauleyP: And we at #Broke LOVE YOU @CarleaseBurke @broke @cbs,2020-05-22 08:26:07,0.0857,0.266,0.302,0.432,1590135967
totoromama1955,@CBS,RT @PauleyP: And we love you @RealElizabethHo on #Broke You’re so nice in real life! :) @broke @cbs,2020-05-22 08:25:52,0.7171,0.363,0.192,0.445,1590135952
totoromama1955,@CBS,RT @PauleyP: On tonight’s  #Broke we are joined by @JordanCHarvey @LAFC SUCH a sweet guy! And his wife too! @LAFC3252 @broke @cbs #Soccer (…,2020-05-22 08:25:31,-0.4912,0.099,0.205,0.696,1590135931
totoromama1955,@CBS,RT @PauleyP: West Coast get ready for our new #BROKE episode at 9:30. Come laugh with us! @broke @cbs,2020-05-22 08:25:07,-0.1343,0.22,0.239,0.541,1590135907
BTS_twitteer,@CBS,RT @JKCorden: When you get in the lift with tonight’s guests! @cbs 12.30 x https://t.co/x0WhmlJPdy,2020-05-22 08:23:43,0.0,0.0,0.0,1.0,1590135823
lawyerbyatch,@CBS,"RT @jayharrington3: season finale.
10pm 
@CBS 
#rollswat https://t.co/F7RE7IjHEp",2020-05-22 08:22:31,0.0,0.0,0.0,1.0,1590135751
alejandrawins,@CBS,@Luiscarazo @CBS YASSSSS 🙌🏼🔥🎉👏🏼👏🏼👏🏼,2020-05-22 08:22:28,0.0772,0.093,0.082,0.825,1590135748
aureliexsunset,@CBS,RT @TheKennyJohnson: Check out our SWAT Finale tomorrow night @swatcbs @SonyPictures @Sony @SPTV @CBS @CBSTweet @CBSWatch Epic!!!! https://…,2020-05-22 08:19:54,0.0,0.0,0.0,1.0,1590135594
aureliexsunset,@CBS,RT @TheKennyJohnson: Luca’s back in black - TONIGHT on #SWAT @swatcbs 10/9c on @CBS  👊🏼 https://t.co/C3HDBb8aCG,2020-05-22 08:19:30,0.0,0.0,0.0,1.0,1590135570
aureliexsunset,@CBS,"RT @jayharrington3: tonight.
10pm on @cbs 
#SWAT

trust me... https://t.co/UahymqmwPG",2020-05-22 08:19:24,0.5106,0.268,0.0,0.732,1590135564
MahmudaAyu,@CBS,RT @JKCorden: When you get in the lift with tonight’s guests! @cbs 12.30 x https://t.co/x0WhmlJPdy,2020-05-22 08:19:03,0.0,0.0,0.0,1.0,1590135543
aureliexsunset,@CBS,"RT @jayharrington3: season finale.
10pm 
@CBS 
#rollswat https://t.co/F7RE7IjHEp",2020-05-22 08:18:44,0.0,0.0,0.0,1.0,1590135524
njhwakeup,@CBS,RT @5SOS: .@latelateshow // Monday night on @CBS https://t.co/KgV9xP8ZpL,2020-05-22 08:17:44,0.0,0.0,0.0,1.0,1590135464
njhwakeup,@CBS,RT @5SOS: Playing a special performance of Wildflower tonight on @latelateshow with @JKCorden 🌸 Tune in tonight at 12:35am on @CBS https://…,2020-05-22 08:17:36,0.5423,0.176,0.0,0.824,1590135456
TalkingStarTrek,@CBS,"RT @CBS: .@MrJerryOC &amp; @RebeccaRomijn host HAIRCUT NIGHT IN AMERICA, featuring America’s top hair stylists in an at-home DIY Celebrity &amp; fr…",2020-05-22 08:14:31,0.2023,0.079,0.0,0.921,1590135271
kattyronald20,@CBS,RT @IAMQUEENLATIFAH: I am so excited to be joining the @cbs family as The Equalizer! Coming to your screens Sundays at 8pm this Fall! #TheE…,2020-05-22 08:10:27,0.5719,0.134,0.0,0.866,1590135027
JanelleH67,@CBS,@DaytimeEmmys @wildcorwin @hitRECordJoe @HBO @sesamestreet @MoRocca @alieward @CBS @mikeroweworks @FacebookWatch @andrewzimmern @travelchannel Congratulations on the nomination!,2020-05-22 08:04:06,0.636,0.218,0.0,0.782,1590134646
FrancoCNac,@CBS,"RT @TheTalkCBS: Thursday on “The Talk@Home,” the hosts reveal the “47th Annual Daytime Emmy Awards” nominations on @CBS, including nominees…",2020-05-22 08:02:30,0.0,0.0,0.0,1.0,1590134550
LoveAly12,@CBS,RT @PauleyP: And we at #Broke LOVE YOU @CarleaseBurke @broke @cbs,2020-05-22 08:02:21,0.0857,0.266,0.302,0.432,1590134541
LoveAly12,@CBS,RT @PauleyP: Our all new episode of @Broke @CBS is about to start East Coast and Central . It’s called “Soocer” and my character Jackie may…,2020-05-22 08:01:46,-0.4215,0.0,0.101,0.899,1590134506
lmcpark,@CBS,@cnn @msnbc @abc @cbs @nbc @foxnews https://t.co/r2Ijh9YmRy,2020-05-22 08:00:22,0.0,0.0,0.0,1.0,1590134422
chachomanopapa,@CBS,"@xijingping @PutinRF @washingtonpost @derspiegel @lemondefr @CNN @MSNBC @realDonaldTrump @POTUS @macfound @BillGates @truthbook @seeTRUTHasTRUTH @UN @PutinRF_Eng @khamenei_ir @netanyahu @HHShkMohd @MuhammadMorsi @PMOIndia @globaltimesnews @YeonmiParkNK @northkoreatimes @peterbakernyt @CBS @FoxNews @RealMikePompeo @AmbJohnBolton @MittRomney @lisamurkowski @Marvel @dccc @GOP @SenSchumer @SpeakerPelosi @SenatorCollins @DrTedros @LinkedIn @Microsoft @reddit @YouTube @JoeBiden @NYGovCuomo @NobelPrize @WindsorMann @BarackObama @whca @davidplouffe @AOC “From the favelas of Rio to the indigenous communities of the Amazon rain forest Brazil has emerged as the new global epicenter of misery. Transmission rates there are the highest in the world and the health system ... is miserable. But Bolsonaro’s happy.”
https://t.co/dPewKkbScW",2020-05-22 07:59:03,-0.296,0.034,0.046,0.92,1590134343
LaTana_2014,@CBS,"RT @StacyKeach1: Don't miss 𝙈𝙖𝙣 𝙒𝙞𝙩𝙝 𝘼 𝙋𝙡𝙖𝙣, tonight at 8:30pm Eastern/Pacific.
When Adam and Andi resort to their usual punishment in resp…",2020-05-22 07:59:03,-0.4129,0.056,0.125,0.819,1590134343
FrancoCNac,@CBS,"RT @TheTalkCBS: Join us in congratulating THE TALK hosts and hard-working crew of @thetalkcbs on 6 @DaytimeEmmys nominations, including OUT…",2020-05-22 07:58:49,0.296,0.104,0.0,0.896,1590134329
politicalfarm,@CBS,@CBS @mPinoe https://t.co/oX0XQzsunD,2020-05-22 07:58:10,0.0,0.0,0.0,1.0,1590134290
D666Nicole,@CBS,RT @PauleyP: West Coast get ready for our new #BROKE episode at 9:30. Come laugh with us! @broke @cbs,2020-05-22 07:56:50,-0.1343,0.22,0.239,0.541,1590134210
stakebite,@CBS,"Lori pleads guilty gets 2 months in jail, with a COVID19 break out! It pays to be smarter than the system. ⁦ she might even get a guest spot on ⁦@AllRiseCBS⁩ !!!! $VIAC ⁦@CBS⁩ ⁦@CNN⁩ &amp;NFLX https://t.co/VTX8YIYmm8 https://t.co/WmLgZUNj4i",2020-05-22 07:56:32,0.3331,0.097,0.065,0.838,1590134192
Aaronrutter9,@CBS,RT @PauleyP: On tonight’s  #Broke we are joined by @JordanCHarvey @LAFC SUCH a sweet guy! And his wife too! @LAFC3252 @broke @cbs #Soccer (…,2020-05-22 07:56:26,-0.4912,0.099,0.205,0.696,1590134186
flat0shi,@CBS,"RT @Jali_Cat: ‼️First Pentecostal Church in Holly Springs, Mississippi, was torched for holding services during quarentine.

The democrats…",2020-05-22 07:55:04,0.0,0.0,0.0,1.0,1590134104
D666Nicole,@CBS,RT @PauleyP: And we at #Broke LOVE YOU @CarleaseBurke @broke @cbs,2020-05-22 07:54:46,0.0857,0.266,0.302,0.432,1590134086
delsuc1,@CBS,@Venuseswilliams @gameon @CBS @RobGronkowski @KeeganMKey @bobbyleelive @IanKarmel 🤔,2020-05-22 07:53:49,0.0,0.0,0.0,1.0,1590134029
FrancoCNac,@CBS,"RT @DaytimeEmmys: The #DaytimeEmmys nominees in DIRECTING TEAM are...
The Bold and The Beautiful │ @BandB_CBS @CBS
Days of Our Lives │  @nb…",2020-05-22 07:52:42,0.7579,0.236,0.0,0.764,1590133962
JenniferTvFan,@CBS,"@YandR_CBS @CBS @MyJasonThompson @ChristelAdnana @MarkGrossman @BrytonEjames @SashaCalle Best wishes to all the nomiees! All well deserved, especially Sasha Calle! I will definitely be watching the awards!",2020-05-22 07:52:39,0.9257,0.408,0.0,0.592,1590133959
BraundaKuntsch3,@CNN,RT @CNN: President Trump concluded a White House conference call with Hispanic leaders ostensibly focused on the coronavirus pandemic by un…,2020-05-22 09:14:40,0.3818,0.115,0.0,0.885,1590138880
brglr14,@CNN,@PhilipTrucchio @suttleman44 @CNN No one said China didn't start it.....but trump looked the other way,2020-05-22 09:14:39,-0.296,0.0,0.136,0.864,1590138879
KKDFKK,@CNN,RT @JaniceDean: @ananavarro @CNN One guy faked his own quarantine. The other guy let recovering Covid patients back into nursing homes whic…,2020-05-22 09:14:36,0.0,0.0,0.0,1.0,1590138876
coolreggiegod,@CNN,RT @CNN: President Donald Trump announced Thursday that flags on federal buildings will be lowered to half-staff over the coming days to ho…,2020-05-22 09:14:34,-0.128,0.0,0.064,0.936,1590138874
LadyKenai,@CNN,"@CNN tell this to the so called ""leader"" of the USA!",2020-05-22 09:14:32,0.0,0.0,0.0,1.0,1590138872
glassrx1,@CNN,RT @BishesBrew: @CNN Blame Donald Trump. This is all on his incompetence and reluctance to perform the duties of the office of the presiden…,2020-05-22 09:14:32,-0.7964,0.0,0.278,0.722,1590138872
RealJWT,@CNN,@ananavarro @CNN Would that be like doing your nails on air during an immigration panel? “Humor”,2020-05-22 09:14:31,0.3612,0.143,0.0,0.857,1590138871
humanrightslaw,@CNN,RT @KaptiBayram: @humanrightslaw @hrw @CommissionerHR @HRC @OntHumanRights @UNHumanRights @UN @EU_Commission @humanrights1st @EURightsAgenc…,2020-05-22 09:14:28,0.0,0.0,0.0,1.0,1590138868
HanifHanifahHH,@CNN,RT @CNN: Victoria's Secret is permanently closing 250 stores in the US and Canada https://t.co/ECHjvgzbEA,2020-05-22 09:14:28,0.0,0.0,0.0,1.0,1590138868
Queenandprinc11,@CNN,@PhilipTrucchio @FeliesMadretsma @CNN https://t.co/7WE2bc9TMS,2020-05-22 09:14:23,0.0,0.0,0.0,1.0,1590138863
jadore_la_mer,@CNN,"@CNN No worries Mel, in February you can finally get divorced...",2020-05-22 09:14:21,0.3252,0.189,0.0,0.811,1590138861
jgod51,@CNN,RT @CNN: First lady Melania Trump thanked students for helping to keep the country safe and acknowledged recent changes they’ve had to make…,2020-05-22 09:14:19,0.7906,0.286,0.0,0.714,1590138859
HaizhenWang1,@CNN,@EMatlhaku @CNN the truth will slap your face.,2020-05-22 09:14:19,0.4404,0.394,0.0,0.606,1590138859
MeteSt239,@CNN,@HongKongFP Unlimited freedom to the Uyghur Turkish Nation and Hong Kong people who are oppressed under the Chinese persecution ... Freedom.   @Tesla @thetimes @nytimes @DailyChinaNews @realDonaldTrump @FLOTUS @CNN,2020-05-22 09:14:18,0.743,0.23,0.085,0.685,1590138858
DipsonGiri1,@CNN,RT @CNN: President Donald Trump announced Thursday that flags on federal buildings will be lowered to half-staff over the coming days to ho…,2020-05-22 09:14:18,-0.128,0.0,0.064,0.936,1590138858
HKersFightCCP,@CNN,RT @CNN: Hong Kong's Hang Seng Index dropped more than 5% on Friday after news broke that Beijing would move to pass a hugely controversial…,2020-05-22 09:14:18,-0.4215,0.0,0.104,0.896,1590138858
MAC37560474,@CNN,RT @CNN: President Donald Trump announced Thursday that flags on federal buildings will be lowered to half-staff over the coming days to ho…,2020-05-22 09:14:17,-0.128,0.0,0.064,0.936,1590138857
Pal3Z,@CNN,"RT @ananavarro: For months, @CNN has carried almost 24/7 sobering Covid-news. A few minutes of friendly bantering b/w 2 brothers w/high-pro…",2020-05-22 09:14:16,0.3976,0.135,0.064,0.801,1590138856
Giganto50299080,@CNN,"@CNN Yes kids, be a gold digger porn star and get on in tbe world",2020-05-22 09:14:16,0.4019,0.162,0.0,0.838,1590138856
ann_delle,@CNN,@CNN Where is Pence? Haven't seen him lately.,2020-05-22 09:14:14,0.0,0.0,0.0,1.0,1590138854
BraundaKuntsch3,@CNN,RT @CNN: The director-general of the World Health Organization on Wednesday said that more cases had been reported to the agency in the pas…,2020-05-22 09:14:14,0.0,0.0,0.0,1.0,1590138854
MNyalama,@CNN,"RT @CNN: Scientists have created a mouse embryo that's part human — 4% to be exact.

This human-mouse chimera has by far the highest number…",2020-05-22 09:14:11,0.25,0.077,0.0,0.923,1590138851
TonyMerriman2,@CNN,"@thankyouhinkie @CNN It’s about the economy. To encourage more domestic tourism. NZ has squashed covid. 
Do your homework bro.",2020-05-22 09:14:10,0.5106,0.155,0.0,0.845,1590138850
BillEsteem,@CNN,"RT @CNN: ""You have been so strong and I am proud of the examples you have become."" 

First lady Melania Trump thanked students for adapting…",2020-05-22 09:14:09,0.8818,0.318,0.0,0.682,1590138849
scagle1911,@CNN,RT @CNN: First lady Melania Trump thanked students for helping to keep the country safe and acknowledged recent changes they’ve had to make…,2020-05-22 09:14:08,0.7906,0.286,0.0,0.714,1590138848
19bigsister72,@CNN,RT @JaniceDean: @ananavarro @CNN One guy faked his own quarantine. The other guy let recovering Covid patients back into nursing homes whic…,2020-05-22 09:14:07,0.0,0.0,0.0,1.0,1590138847
MaduabuchiOnye6,@CNN,"RT @Chazdonn: @MaziNnamdiKanu @NGRPresident @WHO History is profitable to learn. Thanks to Mazi Nnamdi Kanu, our great Teacher and Liberato…",2020-05-22 09:13:59,0.872,0.368,0.0,0.632,1590138839
secjr112,@CNN,"RT @NickFondacaro: Instead of asking his brother, @NYGovCuomo why he decided to pack COVID patients into nursing homes, killing untold amou…",2020-05-22 09:13:59,-0.6597,0.0,0.18,0.82,1590138839
LiberatedBhakt,@CNN,@CNN @BrutIndia @HBO @iamjohnoliver https://t.co/wa6RVZbDOy,2020-05-22 09:13:57,0.0,0.0,0.0,1.0,1590138837
RealJWT,@CNN,@ananavarro @CNN Great advice. No one is watching 👍🏻,2020-05-22 09:13:55,0.4404,0.237,0.127,0.636,1590138835
dustmagnet2017,@CNN,@EspenFourOne4 @CNN common sense,2020-05-22 09:13:54,0.0,0.0,0.0,1.0,1590138834
samutsakhonjeff,@CNN,@roastbeef69 @BBCWorld @CNN @SkyNews Don’t understand why he would film it ? Detroit will get him.,2020-05-22 09:13:54,0.0,0.0,0.0,1.0,1590138834
annewat80421362,@CNN,@CNN Finally!!!,2020-05-22 09:13:52,0.0,0.0,0.0,1.0,1590138832
NotYetinBC,@CNN,@CryinHillary @CNN Lol,2020-05-22 09:13:51,0.4215,0.583,0.0,0.417,1590138831
Ken45213519,@CNN,@CNN I'm sure they will appreciate greatly instead of being alive should America has a relatively decent leader 🙄🙄🙄,2020-05-22 09:13:51,0.765,0.22,0.0,0.78,1590138831
ClevelandLib,@CNN,"@CNN 3 months in, 100K dead and he just does something superficial to acknowledge them.",2020-05-22 09:13:50,-0.6486,0.0,0.235,0.765,1590138830
angaukaluku,@CNN,@CNN She is classy. unlike her idiotic husband,2020-05-22 09:13:45,-0.1779,0.232,0.288,0.48,1590138825
roseanne1952,@CNN,RT @JaniceDean: @ananavarro @CNN One guy faked his own quarantine. The other guy let recovering Covid patients back into nursing homes whic…,2020-05-22 09:13:44,0.0,0.0,0.0,1.0,1590138824
RealFurgas,@CNN,@donteatthesnow @LanahD33 @suttleman44 @CNN And yet they are still preferable to Hillary Clinton.,2020-05-22 09:13:42,0.0,0.0,0.0,1.0,1590138822
master_5115,@CNN,@MBS_MBSKSA @realDonaldTrump @VP @SecPompeo @WhiteHouse @guardian @Independent @Telegraph @washingtonpost @TheSun @nytimes @AP @FoxNews @CNN @ABC @WSJ @thetimes @BBCWorld @Reuters خطأ https://t.co/lSgFig4QZd,2020-05-22 09:13:41,0.0,0.0,0.0,1.0,1590138821
CmdrProton,@CNN,RT @CNN: President Donald Trump announced Thursday that flags on federal buildings will be lowered to half-staff over the coming days to ho…,2020-05-22 09:13:41,-0.128,0.0,0.064,0.936,1590138821
